day,date,dose_mGy_day,H_mSv_day
0,2011-11-26,1.9314,5.3066
1,2011-11-27,1.8146,4.0792
2,2011-11-28,1.9592,4.5771
3,2011-11-29,2.1202,5.4194
4,2011-11-30,1.7969,4.4696
5,2011-12-01,1.7969,5.0235
6,2011-12-02,2.1306,5.1826
7,2011-12-03,1.9812,4.3641
8,2011-12-04,1.7536,4.7814
9,2011-12-05,1.9398,3.251
10,2011-12-06,1.7547,4.3173
11,2011-12-07,1.7543,4.6885
12,2011-12-08,1.8845,4.2098
13,2011-12-09,1.488,5.5952
14,2011-12-10,1.5226,4.1221
15,2011-12-11,1.7365,4.5983
16,2011-12-12,1.6536,4.8729
17,2011-12-13,1.8978,5.5033
18,2011-12-14,1.6729,4.1194
19,2011-12-15,1.5801,5.3695
20,2011-12-16,2.1097,4.8149
21,2011-12-17,1.7985,4.3379
22,2011-12-18,1.8524,5.0323
23,2011-12-19,1.5778,4.9057
24,2011-12-20,1.7398,4.5213
25,2011-12-21,1.8604,4.8436
26,2011-12-22,1.6282,4.6247
27,2011-12-23,1.9091,4.8646
28,2011-12-24,1.7295,5.1285
29,2011-12-25,1.7863,5.5729
30,2011-12-26,1.7293,4.2146
31,2011-12-27,2.1808,5.836
32,2011-12-28,1.8375,3.871
33,2011-12-29,1.6454,4.737
34,2011-12-30,1.9913,5.093
35,2011-12-31,1.6154,4.9452
36,2012-01-01,1.8784,4.5105
37,2012-01-02,1.4794,4.7099
38,2012-01-03,1.5956,4.5729
39,2012-01-04,1.8762,4.5265
40,2012-01-05,9.8794,26.0933
41,2012-01-06,9.3577,24.9086
42,2012-01-07,1.8187,4.4767
43,2012-01-08,1.7846,5.2427
44,2012-01-09,1.568,4.9578
45,2012-01-10,1.7075,5.201
46,2012-01-11,1.7552,5.1129
47,2012-01-12,2.0345,4.4113
48,2012-01-13,1.9032,4.5406
49,2012-01-14,1.5156,5.1694
50,2012-01-15,1.8996,5.1036
51,2012-01-16,1.7691,4.7999
52,2012-01-17,1.7154,4.8664
53,2012-01-18,1.9525,5.4246
54,2012-01-19,2.0297,4.5255
55,2012-01-20,2.0114,5.0732
56,2012-01-21,1.6856,4.7127
57,2012-01-22,1.7831,4.7053
58,2012-01-23,1.901,5.3385
59,2012-01-24,2.0195,5.207
60,2012-01-25,1.7518,5.2013
61,2012-01-26,1.8058,5.4379
62,2012-01-27,1.6364,4.8201
63,2012-01-28,1.6199,5.138
64,2012-01-29,1.9895,4.6608
65,2012-01-30,2.0895,4.9659
66,2012-01-31,1.8268,4.7474
67,2012-02-01,2.0247,4.8567
68,2012-02-02,1.9065,5.0963
69,2012-02-03,1.7213,4.4164
70,2012-02-04,1.9065,5.8164
71,2012-02-05,2.123,4.3261
72,2012-02-06,1.8334,4.226
73,2012-02-07,2.1279,5.3671
74,2012-02-08,1.358,5.1908
75,2012-02-09,1.9912,5.1102
76,2012-02-10,1.856,5.1122
77,2012-02-11,1.785,4.8041
78,2012-02-12,1.8569,4.3784
79,2012-02-13,1.4743,4.8465
80,2012-02-14,1.7996,4.4843
81,2012-02-15,1.9057,5.279
82,2012-02-16,2.1119,4.7393
83,2012-02-17,1.7446,4.4129
84,2012-02-18,1.6912,4.6554
85,2012-02-19,1.7477,5.0086
86,2012-02-20,2.0084,4.5388
87,2012-02-21,1.9005,4.4145
88,2012-02-22,1.7425,4.9272
89,2012-02-23,1.9344,4.9278
90,2012-02-24,1.8579,4.5662
91,2012-02-25,2.0182,4.5834
92,2012-02-26,1.7108,4.9216
93,2012-02-27,1.7797,4.1135
94,2012-02-28,1.7679,4.133
95,2012-02-29,1.5707,4.4644
96,2012-03-01,1.8945,4.7073
97,2012-03-02,1.888,4.9595
98,2012-03-03,1.8409,5.5196
99,2012-03-04,1.7968,5.2225
100,2012-03-05,1.5796,4.7331
101,2012-03-06,1.7626,4.8009
102,2012-03-07,1.7769,4.3278
103,2012-03-08,1.6924,4.8011
104,2012-03-09,1.8103,4.6712
105,2012-03-10,1.9143,4.9652
106,2012-03-11,2.1871,4.4121
107,2012-03-12,1.8721,5.0598
108,2012-03-13,1.8874,5.5472
109,2012-03-14,1.8263,4.7577
110,2012-03-15,1.4869,5.0032
111,2012-03-16,1.8351,5.142
112,2012-03-17,1.8511,4.617
113,2012-03-18,2.2932,4.9178
114,2012-03-19,1.8046,4.8161
