x_bin,y_bin,z_bin,physical_dose_Gy,z_depth_cm,LETd_keV_um,RBE_wedenberg_ref,RBE_mcnamara_ref,alpha_beta_x_Gy,dose_Gy,dose_RBE_wedenberg_ref,dose_RBE_mcnamara_ref
0,0,0,1.528078973933589e-05,0.05,0.945660412311554,1.0576803670648214,1.098115573797266,3.0,2.0,2.1153607341296428,2.196231147594532
0,0,1,1.488291491114069e-05,0.15,0.8447556495666504,1.0516137144116002,1.0936510608794676,3.0,2.0,2.1032274288232005,2.1873021217589352
0,0,2,1.48359831655398e-05,0.25,0.8050405383110046,1.0492203302579393,1.0918909733261353,3.0,2.0,2.0984406605158785,2.1837819466522705
0,0,3,1.53001383296214e-05,0.35,1.082299113273621,1.0658631301891603,1.1041443873615466,3.0,2.0,2.1317262603783207,2.2082887747230933
0,0,4,1.538745345897041e-05,0.45,1.174292087554932,1.0713515264768139,1.1081925656034115,3.0,2.0,2.1427030529536277,2.216385131206823
0,0,5,1.524659728602273e-05,0.55,0.9270446300506592,1.056562671130175,1.097292714931768,3.0,2.0,2.11312534226035,2.194585429863536
0,0,6,1.560058626637328e-05,0.65,1.157746553421021,1.0703656231901222,1.1074651100496962,3.0,2.0,2.1407312463802444,2.2149302200993923
0,0,7,1.579551280883607e-05,0.75,1.083041667938232,1.0659074981789673,1.1041770982624943,3.0,2.0,2.1318149963579347,2.2083541965249887
0,0,8,1.540126140753273e-05,0.8500000000000001,0.852302610874176,1.0520681636829659,1.0939853402181081,3.0,2.0,2.1041363273659317,2.1879706804362162
0,0,9,1.576626164023764e-05,0.95,0.9385085701942444,1.0572510505550001,1.0977994888626355,3.0,2.0,2.1145021011100003,2.195598977725271
0,0,10,1.572474866406992e-05,1.05,1.009997963905334,1.0615378986285264,1.1009566842383736,3.0,2.0,2.123075797257053,2.201913368476747
0,0,11,1.646927012188826e-05,1.15,1.037317633628845,1.0631734408206677,1.102161817815948,3.0,2.0,2.1263468816413353,2.204323635631896
0,0,12,1.64362536452245e-05,1.25,1.133227944374084,1.0689036433877348,1.1063865912176467,3.0,2.0,2.1378072867754696,2.2127731824352934
