year,month,phi_MV,date
1964,1,578.5,1964-01-15
1964,2,582.4,1964-02-15
1964,3,555.9,1964-03-15
1964,4,538.8,1964-04-15
1964,5,531.4,1964-05-15
1964,6,531.5,1964-06-15
1964,7,531.8,1964-07-15
1964,8,524.0,1964-08-15
1964,9,512.9,1964-09-15
1964,10,514.9,1964-10-15
1964,11,517.9,1964-11-15
1964,12,489.2,1964-12-15
1965,1,486.2,1965-01-15
1965,2,489.8,1965-02-15
1965,3,476.7,1965-03-15
1965,4,462.3,1965-04-15
1965,5,456.3,1965-05-15
1965,6,487.7,1965-06-15
1965,7,499.8,1965-07-15
1965,8,501.7,1965-08-15
1965,9,498.7,1965-09-15
1965,10,491.3,1965-10-15
1965,11,475.4,1965-11-15
1965,12,477.6,1965-12-15
1966,1,503.4,1966-01-15
1966,2,505.7,1966-02-15
1966,3,521.8,1966-03-15
1966,4,535.5,1966-04-15
1966,5,518.3,1966-05-15
1966,6,552.4,1966-06-15
1966,7,569.5,1966-07-15
1966,8,572.0,1966-08-15
1966,9,679.0,1966-09-15
1966,10,619.5,1966-10-15
1966,11,599.9,1966-11-15
1966,12,627.8,1966-12-15
1967,1,658.8,1967-01-15
1967,2,673.6,1967-02-15
1967,3,634.8,1967-03-15
1967,4,626.0,1967-04-15
1967,5,661.9,1967-05-15
1967,6,673.5,1967-06-15
1967,7,650.8,1967-07-15
1967,8,677.1,1967-08-15
1967,9,672.9,1967-09-15
1967,10,664.3,1967-10-15
1967,11,696.7,1967-11-15
1967,12,701.4,1967-12-15
1968,1,687.9,1968-01-15
1968,2,700.8,1968-02-15
1968,3,709.7,1968-03-15
1968,4,693.1,1968-04-15
1968,5,718.4,1968-05-15
1968,6,761.1,1968-06-15
1968,7,750.6,1968-07-15
1968,8,737.2,1968-08-15
1968,9,765.3,1968-09-15
1968,10,811.6,1968-10-15
1968,11,887.1,1968-11-15
1968,12,857.2,1968-12-15
1969,1,769.5,1969-01-15
1969,2,768.6,1969-02-15
1969,3,785.5,1969-03-15
1969,4,790.1,1969-04-15
