year,month,phi_MV,date
2000,1,581.9,2000-01-15
2000,2,595.2,2000-02-15
2000,3,608.7,2000-03-15
2000,4,622.4,2000-04-15
2000,5,636.2,2000-05-15
2000,6,650.3,2000-06-15
2000,7,664.4,2000-07-15
2000,8,678.6,2000-08-15
2000,9,692.9,2000-09-15
2000,10,707.1,2000-10-15
2000,11,721.4,2000-11-15
2000,12,735.6,2000-12-15
2001,1,749.7,2001-01-15
2001,2,763.8,2001-02-15
2001,3,777.6,2001-03-15
2001,4,791.3,2001-04-15
2001,5,804.8,2001-05-15
2001,6,818.1,2001-06-15
2001,7,831.1,2001-07-15
2001,8,843.8,2001-08-15
2001,9,856.1,2001-09-15
2001,10,868.2,2001-10-15
2001,11,879.8,2001-11-15
2001,12,891.0,2001-12-15
2002,1,901.8,2002-01-15
2002,2,912.1,2002-02-15
2002,3,922.0,2002-03-15
2002,4,931.3,2002-04-15
2002,5,940.2,2002-05-15
2002,6,948.4,2002-06-15
2002,7,956.2,2002-07-15
2002,8,963.3,2002-08-15
2002,9,969.8,2002-09-15
2002,10,975.8,2002-10-15
2002,11,981.1,2002-11-15
2002,12,985.8,2002-12-15
2003,1,989.8,2003-01-15
2003,2,993.1,2003-02-15
2003,3,995.8,2003-03-15
2003,4,997.9,2003-04-15
2003,5,999.2,2003-05-15
2003,6,999.9,2003-06-15
2003,7,999.9,2003-07-15
2003,8,999.2,2003-08-15
2003,9,997.9,2003-09-15
2003,10,995.8,2003-10-15
2003,11,993.1,2003-11-15
2003,12,989.8,2003-12-15
2004,1,985.8,2004-01-15
2004,2,981.1,2004-02-15
2004,3,975.8,2004-03-15
2004,4,969.8,2004-04-15
2004,5,963.3,2004-05-15
2004,6,956.2,2004-06-15
2004,7,948.4,2004-07-15
2004,8,940.2,2004-08-15
2004,9,931.3,2004-09-15
2004,10,922.0,2004-10-15
2004,11,912.1,2004-11-15
2004,12,901.8,2004-12-15
2005,1,891.0,2005-01-15
2005,2,879.8,2005-02-15
2005,3,868.2,2005-03-15
2005,4,856.1,2005-04-15
2005,5,843.8,2005-05-15
2005,6,831.1,2005-06-15
2005,7,818.1,2005-07-15
2005,8,804.8,2005-08-15
2005,9,791.3,2005-09-15
2005,10,777.6,2005-10-15
2005,11,763.8,2005-11-15
2005,12,749.7,2005-12-15
2006,1,735.6,2006-01-15
2006,2,721.4,2006-02-15
2006,3,707.1,2006-03-15
2006,4,692.9,2006-04-15
2006,5,678.6,2006-05-15
2006,6,664.4,2006-06-15
2006,7,650.3,2006-07-15
2006,8,636.2,2006-08-15
2006,9,622.4,2006-09-15
2006,10,608.7,2006-10-15
2006,11,595.2,2006-11-15
2006,12,581.9,2006-12-15
2007,1,568.9,2007-01-15
2007,2,556.2,2007-02-15
2007,3,543.9,2007-03-15
2007,4,531.8,2007-04-15
2007,5,520.2,2007-05-15
